,pib,renda,renda_per_capita,indice_consumidor,indice_produtor,taxa_cambio,taxa_desemprego,taxa_emprego,populacao_economicamente_ativa,rendimento_medio_trabalhadores,exportacoes,importacoes,saldo_comercial,cobertura_comercial,divida_publica,despesa_fiscal,taxa_alfabetizacao,taxa_matricula_educacao,gastos_educacao,inflacao
2030-01-14,2472819362259.0,2438459112657.73,12750,119.372104441451,119.372104441451,2.15608915126311,7.07,59.215,98532617,7.5,11.7422306432624,14.0437266822704,-2.301496039007999,-2.30149603900804,57.228409380258,30.8363376486568,91.4842376708984,97.32389,5.8388500213623,6.204310666401
2030-01-15,546229749726.263,525237512904.74,2960,22.0715442934335,22.0715442934335,0.664683514070577,6.47,59.817,68722270,,9.51307642702004,9.16168336908223,0.35139305793781084,0.351393057937806,,,,,,2075.88839757325
2030-01-16,559983704075.658,541802025589.408,3330,56.1249316036127,56.1249316036127,2.34963170932244,10.65,57.741,81451849,6.0,12.37171066993,14.564574352134,-2.192863682204001,-2.19286368220403,,,,98.85493,3.84468007087708,6.84035902487525
2030-01-17,769333330439.52,758586196694.515,3700,36.640315941141,36.640315941141,0.917666666666667,7.09,59.521,70502971,5.8,7.52887503847073,9.45558496072482,-1.9267099222540907,-1.92670992225409,,,,,4.56816005706787,66.0070335542481
2030-01-18,599642075039.049,581160970755.97,4190,49.0746921995342,49.0746921995342,1.81393284657213,11.13,56.853,77242077,6.0,9.5648982609794,11.4172682172491,-1.8523699562697011,-1.85236995626965,,,,98.07272,3.80062007904053,4.85844749902668
2030-01-19,509795270707.268,492692609464.012,3080,60.8675805806435,60.8675805806435,2.92036301775519,10.64,58.525,84252471,6.1,14.2305902713775,13.3877671308534,0.8428231405241,0.842823140524155,,,,96.72741,3.75037002563477,8.4501643770833
2030-01-20,1397114247287.58,1367438369215.1,6170,85.8890058743968,85.8890058743968,1.94705833333333,9.28,59.733,92730992,6.9,13.327675103099,11.9649362705808,1.3627388325182004,1.36273883251816,,,90.0093688964844,92.47411,4.97425985336304,3.64127299102654
2030-01-21,1795693265824.27,1757596906019.34,8890,150.482594206408,150.482594206408,3.49131342157271,11.74,56.027,102278733,7.4,12.4666790443888,12.0670030360511,0.3996760083376998,0.399676008337736,73.4188038096758,36.4916011293298,92.8084411621094,97.20202,6.314040184021,8.73914352329393
2030-01-22,390566561752.671,383198942651.176,2760,0.0500334876739342,0.0500334876739342,0.00195302352248811,6.42,59.646,65276714,7.1,10.8683116605935,8.38506312730241,2.483248533291091,2.48324853329106,,,,,,951.962053052818
2030-01-23,769333330439.52,758586196694.515,3700,36.640315941141,36.640315941141,0.917666666666667,7.09,59.521,70502971,5.8,7.52887503847073,9.45558496072482,-1.9267099222540907,-1.92670992225409,,,,,4.56816005706787,66.0070335542481
